Handle,Command,Title,Body HTML,Tags,SEO Title,SEO Description,Metafield: custom.material [single_line_text_field],Metafield: custom.nominal_size [single_line_text_field],Metafield: custom.pattern [single_line_text_field],Metafield: custom.finish [single_line_text_field],Metafield: custom.color_family [single_line_text_field],Metafield: custom.units_per_box [number_integer],Metafield: custom.sqft_per_box [number_decimal],Metafield: custom.thickness_in [number_decimal],Metafield: custom.price_per_sqft [number_decimal],Metafield: custom.price_unit [single_line_text_field],Metafield: custom.source_sku [single_line_text_field]
tracery-oriental-white-c-spgr-marble-polished-backsplash,UPDATE,"Silver Grid Oriental White C & Spgr Marble 11 1/4"" x 11 1/4"" Tile — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 11 1/4"" x 11 1/4""</li><li><strong>Finish</strong> — Polished</li><li><strong>Colour family</strong> — White</li><li><strong>Coverage</strong> — 7.04 sq ft per box (8 pieces)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Floor & Wall Tile, Natural Stone, Floor, Wall, White, Polished","Silver Grid Oriental White C & Spgr Marble 11 1/4"" x 11 1/4"" Tile — Po","Silver Grid Oriental White C & Spgr Marble 11 1/4"" x 11 1/4"" Tile — Polished. Natural marble sold by the box, $25.36 per sq ft. Samples available. Ships across the continental US.",Marble,"11 1/4"" x 11 1/4""",,Polished,White,8,7.04,0.375,25.36,sq ft,SIGRMARMOS921269
checkers-with-emperador-dark-tundra-gray-24x24-polished-tile,UPDATE,"Checkerboard Emperador Dark & Tundra Gray Polished 24"" x 24"" Tile","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 24"" x 24""</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Checkerboard</li><li><strong>Colour family</strong> — Brown</li><li><strong>Coverage</strong> — 39.99 sq ft per box (10 pieces)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Floor & Wall Tile, Natural Stone, Floor, Wall, Brown, Checkerboard, Polished, Large Format","Checkerboard Emperador Dark & Tundra Gray Polished 24"" x 24"" Tile","Checkerboard Emperador Dark & Tundra Gray Polished 24"" x 24"" Tile. Natural marble sold by the box, $18.23 per sq ft. Samples available. Ships across the continental US.",Marble,"24"" x 24""",Checkerboard,Polished,Brown,10,39.99,0.375,18.23,sq ft,CHEMMARTIL331637
nero-metal-arrow-10x12-mosaic-tile,UPDATE,"Rockart Nero Marquina Black Marble Metal Arrow Marble 10"" x 12"" Mosaic","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 10"" x 12""</li><li><strong>Colour family</strong> — Black</li><li><strong>Coverage</strong> — 9.33 sq ft per box (9 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, Black","Rockart Nero Marquina Black Marble Metal Arrow Marble 10"" x 12"" Mosaic","Rockart Nero Marquina Black Marble Metal Arrow Marble 10"" x 12"" Mosaic. Natural marble sold by the box, $24.76 per sq ft. Samples available. Ships across the continental US.",Marble,"10"" x 12""",,,Black,9,9.33,0.375,24.76,sq ft,NEMAMARMOS984565
light-beige-botticino-marble-hexagon-combination-mosaic-tile,UPDATE,"Light Beige Botticino Marble Hexagon Combination 3"" x 3"" Mosaic","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 3"" x 3""</li><li><strong>Pattern</strong> — Hexagon</li><li><strong>Colour family</strong> — Beige</li><li><strong>Coverage</strong> — 9.36 sq ft per box (9 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, Beige, Hexagon","Light Beige Botticino Marble Hexagon Combination 3"" x 3"" Mosaic","Light Beige Botticino Marble Hexagon Combination 3"" x 3"" Mosaic. Natural marble sold by the box, $15.66 per sq ft. Samples available. Ships across the continental US.",Marble,"3"" x 3""",Hexagon,,Beige,9,9.36,0.375,15.66,sq ft,LIBEMARMOS787617
moonwalk-w-black-dot-marble-polished-floor-and-wall-mosaic,UPDATE,"Serene Black Dot Marble Polished 11 3/4"" x 11 3/4"" Mosaic","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 11 3/4"" x 11 3/4""</li><li><strong>Finish</strong> — Polished</li><li><strong>Colour family</strong> — White</li><li><strong>Coverage</strong> — 7.68 sq ft per box (8 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, White, Polished","Serene Black Dot Marble Polished 11 3/4"" x 11 3/4"" Mosaic","Serene Black Dot Marble Polished 11 3/4"" x 11 3/4"" Mosaic. Natural marble sold by the box, $24.92 per sq ft. Samples available. Ships across the continental US.",Marble,"11 3/4"" x 11 3/4""",,Polished,White,8,7.68,0.375,24.92,sq ft,SEBLMARMOS470325
elemental-hexagon-blue-marble-polished-floor-and-wall-mosaic,UPDATE,"Prism Hexagon Marble Polished - Blue 12"" x 12"" Mosaic","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 12"" x 12""</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Hexagon</li><li><strong>Colour family</strong> — Blue</li><li><strong>Coverage</strong> — 8.0 sq ft per box (8 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, Blue, Hexagon, Polished","Prism Hexagon Marble Polished - Blue 12"" x 12"" Mosaic","Prism Hexagon Marble Polished - Blue 12"" x 12"" Mosaic. Natural marble sold by the box, $20.00 per sq ft. Samples available. Ships across the continental US.",Marble,"12"" x 12""",Hexagon,Polished,Blue,8,8.0,0.375,20.00,sq ft,PRHEMARMOS632629
carrara-white-4x4-inch-tumbled-marble-tile,UPDATE,"Carrara White Tumbled Marble 4"" x 4"" Tile","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 4"" x 4""</li><li><strong>Finish</strong> — Tumbled</li><li><strong>Pattern</strong> — Square</li><li><strong>Colour family</strong> — White</li><li><strong>Coverage</strong> — 7.0 sq ft per box (63 pieces)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Floor & Wall Tile, Natural Stone, Wall, Backsplash, White, Square, Tumbled","Carrara White Tumbled Marble 4"" x 4"" Tile","Carrara White Tumbled Marble 4"" x 4"" Tile. Natural marble sold by the box, $13.16 per sq ft. Samples available. Ships across the continental US.",Marble,"4"" x 4""",Square,Tumbled,White,63,7.0,0.375,13.16,sq ft,CAWHMARTIL885109
madria-matte-limestone-mosaic,UPDATE,"Madria Matte Limestone 11 5/8"" x 11 5/8"" Mosaic","<p>A natural limestone, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Limestone</li><li><strong>Nominal size</strong> — 11 5/8"" x 11 5/8""</li><li><strong>Finish</strong> — Matte</li><li><strong>Coverage</strong> — 7.52 sq ft per box (8 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Limestone, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, Matte","Madria Matte Limestone 11 5/8"" x 11 5/8"" Mosaic","Madria Matte Limestone 11 5/8"" x 11 5/8"" Mosaic. Natural limestone sold by the box, $271.74 per sq ft. Samples available. Ships across the continental US.",Limestone,"11 5/8"" x 11 5/8""",,Matte,,8,7.52,0.375,271.74,sq ft,MAMALIMMOS967413
checkerboard-bardiglio-crema-marfil-12x12-honed-tile,UPDATE,"Checkerboard Bardiglio & Crema Marfil Matte 12"" x 12"" Tile","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 12"" x 12""</li><li><strong>Finish</strong> — Matte</li><li><strong>Pattern</strong> — Checkerboard</li><li><strong>Colour family</strong> — Beige</li><li><strong>Coverage</strong> — 10.0 sq ft per box (10 pieces)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Floor & Wall Tile, Natural Stone, Floor, Wall, Beige, Checkerboard, Matte","Checkerboard Bardiglio & Crema Marfil Matte 12"" x 12"" Tile","Checkerboard Bardiglio & Crema Marfil Matte 12"" x 12"" Tile. Natural marble sold by the box, $16.54 per sq ft. Samples available. Ships across the continental US.",Marble,"12"" x 12""",Checkerboard,Matte,Beige,10,10.0,0.375,16.54,sq ft,CHBAMARTIL260021
sfax-matte-limestone-mosaic,UPDATE,"Sfax Matte Limestone 11 5/8"" x 11 5/8"" Mosaic","<p>A natural limestone, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Limestone</li><li><strong>Nominal size</strong> — 11 5/8"" x 11 5/8""</li><li><strong>Finish</strong> — Matte</li><li><strong>Coverage</strong> — 8.13 sq ft per box (8 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Limestone, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, Matte","Sfax Matte Limestone 11 5/8"" x 11 5/8"" Mosaic","Sfax Matte Limestone 11 5/8"" x 11 5/8"" Mosaic. Natural limestone sold by the box, $270.74 per sq ft. Samples available. Ships across the continental US.",Limestone,"11 5/8"" x 11 5/8""",,Matte,,8,8.13,0.375,270.74,sq ft,SFMALIMMOS883765
glorious-blue-3-x-12-brushed-marble-tile,UPDATE,"Glorious Blue Brushed Marble 3"" x 12"" Tile","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 3"" x 12""</li><li><strong>Finish</strong> — Brushed</li><li><strong>Colour family</strong> — Blue</li><li><strong>Coverage</strong> — 4.92 sq ft per box (20 pieces)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Floor & Wall Tile, Natural Stone, Floor, Wall, Blue, Brushed","Glorious Blue Brushed Marble 3"" x 12"" Tile","Glorious Blue Brushed Marble 3"" x 12"" Tile. Natural marble sold by the box, $22.89 per sq ft. Samples available. Ships across the continental US.",Marble,"3"" x 12""",,Brushed,Blue,20,4.92,0.375,22.89,sq ft,GLBLMARTIL742645
carrara-italian-deep-beveled-3x6-marble-subway-tile,UPDATE,"Carrara Blue Grey White Marble Tirl Deep Beveled 3"" x 6"" Tile — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 3"" x 6""</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Brick</li><li><strong>Colour family</strong> — White</li><li><strong>Coverage</strong> — 7.0 sq ft per box (56 pieces)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Floor & Wall Tile, Natural Stone, Floor, Wall, Backsplash, White, Brick, Polished","Carrara Blue Grey White Marble Tirl Deep Beveled 3"" x 6"" Tile — Polish","Carrara Blue Grey White Marble Tirl Deep Beveled 3"" x 6"" Tile — Polished. Natural marble sold by the box, $13.12 per sq ft. Samples available. Ships across the continental US.",Marble,"3"" x 6""",Brick,Polished,White,56,7.0,0.375,13.12,sq ft,CAITMARTIL902901
checkerboard-bardiglio-imperiale-bianco-dolomite-marble-tile,UPDATE,"Checkerboard - Bardiglio Imperiale & Bianco Dolomite Marble Polished 12"" x 24"" Tile","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 12"" x 24""</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Checkerboard</li><li><strong>Colour family</strong> — White</li><li><strong>Coverage</strong> — 2.0 sq ft per box (1 pieces)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Floor & Wall Tile, Natural Stone, Floor, Wall, White, Checkerboard, Polished, Large Format",Checkerboard - Bardiglio Imperiale & Bianco Dolomite Marble Polished 1,"Checkerboard - Bardiglio Imperiale & Bianco Dolomite Marble Polished 12"" x 24"" Tile. Natural marble sold by the box, $17.99 per sq ft. Samples available. Ships across the continental US.",Marble,"12"" x 24""",Checkerboard,Polished,White,1,2.0,0.375,17.99,sq ft,CHBAMARTIL956085
zeuren-matte-limestone-mosaic,UPDATE,"Zeuren Matte Limestone 11 5/8"" x 11 5/8"" Mosaic","<p>A natural limestone, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Limestone</li><li><strong>Nominal size</strong> — 11 5/8"" x 11 5/8""</li><li><strong>Finish</strong> — Matte</li><li><strong>Coverage</strong> — 9.34 sq ft per box (9 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Limestone, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, Matte","Zeuren Matte Limestone 11 5/8"" x 11 5/8"" Mosaic","Zeuren Matte Limestone 11 5/8"" x 11 5/8"" Mosaic. Natural limestone sold by the box, $251.96 per sq ft. Samples available. Ships across the continental US.",Limestone,"11 5/8"" x 11 5/8""",,Matte,,9,9.34,0.375,251.96,sq ft,ZEMALIMMOS482805
ferrara-1-x-1-honed-marble-mosaic-tile-with-brass-in-bianco,UPDATE,"Ferrara Matte Marble with Brass in Bianco 1"" x 1"" Mosaic","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 1"" x 1""</li><li><strong>Finish</strong> — Matte</li><li><strong>Pattern</strong> — Square</li><li><strong>Colour family</strong> — White</li><li><strong>Coverage</strong> — 9.56 sq ft per box (10 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, Shower Floor, White, Square, Matte, Micro Mosaic","Ferrara Matte Marble with Brass in Bianco 1"" x 1"" Mosaic","Ferrara Matte Marble with Brass in Bianco 1"" x 1"" Mosaic. Natural marble sold by the box, $47.99 per sq ft. Samples available. Ships across the continental US.",Marble,"1"" x 1""",Square,Matte,White,10,9.56,0.375,47.99,sq ft,FE1MARMOS452213
dougga-honed-limestone-mosaic-x1-4,UPDATE,"Ardenne Curve Matte Limestone 11 5/8"" x 11 5/8"" Mosaic","<p>A natural limestone, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Limestone</li><li><strong>Nominal size</strong> — 11 5/8"" x 11 5/8""</li><li><strong>Finish</strong> — Matte</li><li><strong>Coverage</strong> — 9.8 sq ft per box (10 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Limestone, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, Matte","Ardenne Curve Matte Limestone 11 5/8"" x 11 5/8"" Mosaic","Ardenne Curve Matte Limestone 11 5/8"" x 11 5/8"" Mosaic. Natural limestone sold by the box, $224.91 per sq ft. Samples available. Ships across the continental US.",Limestone,"11 5/8"" x 11 5/8""",,Matte,,10,9.8,0.375,224.91,sq ft,DOHOLIMMOS682869
soltierra-matte-medley-limestone-mosaic,UPDATE,"Soltierra Matte Medley Limestone 10"" x 10"" Mosaic","<p>A natural limestone, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Limestone</li><li><strong>Nominal size</strong> — 10"" x 10""</li><li><strong>Finish</strong> — Matte</li><li><strong>Pattern</strong> — Square</li><li><strong>Coverage</strong> — 6.95 sq ft per box (7 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Limestone, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, Square, Matte","Soltierra Matte Medley Limestone 10"" x 10"" Mosaic","Soltierra Matte Medley Limestone 10"" x 10"" Mosaic. Natural limestone sold by the box, $186.89 per sq ft. Samples available. Ships across the continental US.",Limestone,"10"" x 10""",Square,Matte,,7,6.95,0.375,186.89,sq ft,SOMALIMMOS966517
herringbone-city-grey-11-25-x-11-25-mosaic-tile,UPDATE,"Herringbone City Grey 11 1/4"" x 11 1/4"" Mosaic","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 11 1/4"" x 11 1/4""</li><li><strong>Pattern</strong> — Herringbone</li><li><strong>Colour family</strong> — Grey</li><li><strong>Coverage</strong> — 9.67 sq ft per box (10 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, Grey, Herringbone","Herringbone City Grey 11 1/4"" x 11 1/4"" Mosaic","Herringbone City Grey 11 1/4"" x 11 1/4"" Mosaic. Natural marble sold by the box, $31.33 per sq ft. Samples available. Ships across the continental US.",Marble,"11 1/4"" x 11 1/4""",Herringbone,,Grey,10,9.67,0.375,31.33,sq ft,HECIMARMOS394037
hexagon-italian-blue-10-25-x-11-75-mosaic-tile-1,UPDATE,"Hexagon Italian Blue 10 1/4"" x 11 3/4"" Mosaic","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 10 1/4"" x 11 3/4""</li><li><strong>Pattern</strong> — Hexagon</li><li><strong>Colour family</strong> — Blue</li><li><strong>Coverage</strong> — 9.2 sq ft per box (9 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, Blue, Hexagon","Hexagon Italian Blue 10 1/4"" x 11 3/4"" Mosaic","Hexagon Italian Blue 10 1/4"" x 11 3/4"" Mosaic. Natural marble sold by the box, $38.42 per sq ft. Samples available. Ships across the continental US.",Marble,"10 1/4"" x 11 3/4""",Hexagon,,Blue,9,9.2,0.375,38.42,sq ft,HEAGMARMOS771445
carwhtmos1365,UPDATE,"Carrara Blue Grey White Marble Octave (Long Octagon) Black 2"" x 4"" Mosaic — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 2"" x 4""</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Octagon</li><li><strong>Colour family</strong> — White</li><li><strong>Coverage</strong> — 8.0 sq ft per box (8 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, White, Octagon, Polished","Carrara Blue Grey White Marble Octave (Long Octagon) Black 2"" x 4"" Mos","Carrara Blue Grey White Marble Octave (Long Octagon) Black 2"" x 4"" Mosaic — Polished. Natural marble sold by the box, $12.81 per sq ft. Samples available. Ships across the continental US.",Marble,"2"" x 4""",Octagon,Polished,White,8,8.0,0.375,12.81,sq ft,CAITMARMOS661537
carwhtmos1369,UPDATE,"Carrara Blue Grey White Marble Stanza Black Dots 12"" x 12"" Mosaic — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 12"" x 12""</li><li><strong>Finish</strong> — Polished</li><li><strong>Colour family</strong> — White</li><li><strong>Coverage</strong> — 8.0 sq ft per box (8 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, White, Polished","Carrara Blue Grey White Marble Stanza Black Dots 12"" x 12"" Mosaic — Po","Carrara Blue Grey White Marble Stanza Black Dots 12"" x 12"" Mosaic — Polished. Natural marble sold by the box, $12.81 per sq ft. Samples available. Ships across the continental US.",Marble,"12"" x 12""",,Polished,White,8,8.0,0.375,12.81,sq ft,CAITMARMOS877089
checkerboard-bianco-dolomite-carrara-white-12x12-polished-tile,UPDATE,"Checkerboard Bianco Dolomite & Carrara White Polished 12"" x 12"" Tile","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 12"" x 12""</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Checkerboard</li><li><strong>Colour family</strong> — White</li><li><strong>Coverage</strong> — 10.0 sq ft per box (10 pieces)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Floor & Wall Tile, Natural Stone, Floor, Wall, White, Checkerboard, Polished","Checkerboard Bianco Dolomite & Carrara White Polished 12"" x 12"" Tile","Checkerboard Bianco Dolomite & Carrara White Polished 12"" x 12"" Tile. Natural marble sold by the box, $17.21 per sq ft. Samples available. Ships across the continental US.",Marble,"12"" x 12""",Checkerboard,Polished,White,10,10.0,0.375,17.21,sq ft,CHBIMARTIL375285
checkers-with-emperador-dark-emperador-light-24x24-polished-tile,UPDATE,"Checkerboard Emperador Dark & Emperador Light Polished 24"" x 24"" Tile","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 24"" x 24""</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Checkerboard</li><li><strong>Colour family</strong> — Brown</li><li><strong>Coverage</strong> — 40.01 sq ft per box (10 pieces)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Floor & Wall Tile, Natural Stone, Floor, Wall, Brown, Checkerboard, Polished, Large Format","Checkerboard Emperador Dark & Emperador Light Polished 24"" x 24"" Tile","Checkerboard Emperador Dark & Emperador Light Polished 24"" x 24"" Tile. Natural marble sold by the box, $17.21 per sq ft. Samples available. Ships across the continental US.",Marble,"24"" x 24""",Checkerboard,Polished,Brown,10,40.01,0.375,17.21,sq ft,CHEMMARTIL278453
checkers-with-emperador-dark-polar-crystal-white-18x18-polished-tile,UPDATE,"Checkerboard Emperador Dark & Polar (Crystal) White Polished 18"" x 18"" Tile","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 18"" x 18""</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Checkerboard</li><li><strong>Colour family</strong> — Brown</li><li><strong>Coverage</strong> — 22.5 sq ft per box (10 pieces)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Floor & Wall Tile, Natural Stone, Floor, Wall, Brown, Checkerboard, Polished, Large Format","Checkerboard Emperador Dark & Polar (Crystal) White Polished 18"" x 18""","Checkerboard Emperador Dark & Polar (Crystal) White Polished 18"" x 18"" Tile. Natural marble sold by the box, $17.21 per sq ft. Samples available. Ships across the continental US.",Marble,"18"" x 18""",Checkerboard,Polished,Brown,10,22.5,0.375,17.21,sq ft,CHEMMARTIL246837
